title,img,content,region,price,link
예쁘게생긴 자전거팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202203/e5cba50d2823920e3f91a421b0a217c383284b1686cf55fb62aa7c78c508a25e.webp?q=82&s=300x300&t=crop,자물쇠포함 7만원입니다. 산지 2년좀넘었는데 처음에 타다가 거의안타서 사용감별로없고 실내보관해서 녹안슬었습니다. 타이어바람만좀 넣으면 바로타고다닐수있습니다,전남 해남군 해남읍,"70,000원",https://www.daangn.com/articles/372781209
"삼천리 자전거 안장, 열쇠  등",https://dnvefa72aowie.cloudfront.net/origin/article/202112/4a3b9aeb4fb7d4b13558a93bbfb61716a5f004bf874d7476dd3c37609a29ffbe.webp?q=82&s=300x300&t=crop,"A급 삼천리 자전거 안장, 열쇠, 반사경 등
5종 일괄 판매합니다
필요하신분 연락주세요 
총 15,000원 입니다",전남 해남군 해남읍,"15,000원",https://www.daangn.com/articles/329764102
실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202203/018deae1aa04a4e9cc47ba4994cedc603b35b7038e442ff5f5ac80423a7553a3.webp?q=82&s=300x300&t=crop,얼마사용안함,전남 해남군 해남읍,"30,000원",https://www.daangn.com/articles/371983773
실내자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202203/1caa5986c6d749c053fe1f2def13f9368cb1ab390339ced7fa9a8cb59a8da451.webp?q=82&s=300x300&t=crop,"구매한지는 조금 됐는데 몇번 사용을 안했어요 운동 잘됩니다 
가지러오셔야 됩니다
관심있으신분 연락주세요",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/367442822
키즈 헬멧 미개봉 새제품 size M,https://dnvefa72aowie.cloudfront.net/origin/article/202203/8B6C455C2960682D54F8090E7EB2A1A50983CA77BAA7F7B325A6C8E48B5BF074.jpg?q=82&s=300x300&t=crop,삼천리 자전거 헬멧 사이즈 M미개봉 새제품입니다.,전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/372676293
기어자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202203/63256ac69bda689dfd5247b2f67036e1573956865903589a2d5ee734009671dd.webp?q=82&s=300x300&t=crop,얼마쓰지않고장기보관만해상태깨끗합니다헬멧도세트로드려요!!가지러오셔야합니다!! 삼천리,전남 해남군 옥천면,"150,000원",https://www.daangn.com/articles/368791423
스포츠/레저,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_sports.png,저렴하게주실분,전남 해남군 산이면,-,https://www.daangn.com/articles/367384252
영국하이브리드 자전거 1+1,https://dnvefa72aowie.cloudfront.net/origin/article/202203/dea6a77d9125b81da024cbe695bcb9fee89676dd3a9509851bb8fc9c27ff7e1a.webp?q=82&s=300x300&t=crop,"오늘까지 급처안되면 지인한테 팔거 에요,
빨리 사세요  반품 안되요
체인만 갈면 거의 새거에요",전남 해남군 해남읍,"70,000원",https://www.daangn.com/articles/365846395
삼천리자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202202/c69cf14e43f7b03ccefdb1453a8bb59b0cc43f9639085b6ba75b2a4ad104aaa5.webp?q=82&s=300x300&t=crop,"해남삼천리 자전거에서 산지는 2년정도 됬습니다
수리해서 사용하셔야 합니다
앞 바퀴쪽 수리 필요합니다
중고이니 반품 환불은 안됩니다
예민하신분은 사양합니다",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/351146197
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202202/5615cce962fcfd2ee9e521854cb2c3d3a948c15469241f767d55f4752476adaf.webp?q=82&s=300x300&t=crop,상태괜찮아요,전남 해남군 해남읍,"60,000원",https://www.daangn.com/articles/359743784
자전거 타실분~,https://dnvefa72aowie.cloudfront.net/origin/article/202202/0b4a20c0da889f2564c8c7204437933c0f4ce9f41b2abe41f995a0227c847723.webp?q=82&s=300x300&t=crop,초등학생 아들이 탄다해서 구입했는데 거의 타지 않아 타이어도 새거에요,전남 해남군 해남읍,"120,000원",https://www.daangn.com/articles/363900899
실내사이클 삽니다,https://dnvefa72aowie.cloudfront.net/origin/article/202203/36f63b7d403aeb8c37c72826888e0fd281f04f483bf892f845c16bd1bb0f00a7.webp?q=82&s=300x300&t=crop,"실내사이클, 실내자전거 구매합니다",전남 해남군 산이면,-,https://www.daangn.com/articles/368687226
외발자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202202/07226d30962a6cfac7bf4cb389025ac1ca29da2e45ce40228808198b50cd5f82.webp?q=82&s=300x300&t=crop,신랑이  외발자전거 타고 연습 하다가 지금은 안타서 내놓아요,전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/363253682
야핏 사이클 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202203/f09130dda58011911e059c5783fd6a9b1145adeeedb91b9463cea30ea4b7c4e7.webp?q=82&s=300x300&t=crop,"저도 지난 2월에 당근으로 구입한 야핏 사이클입니다.
구입하고 몇번안탔는데 저랑 안맞아서 판매합니다.
센서가 내장되어있어서 야핏 프로그램만 구입해서 이용하셔도 되고, 프로그램 없이도 스피닝 자전거로 사용하실수도 있습니다.
네고가능합니다.",전남 해남군 해남읍,"750,000원",https://www.daangn.com/articles/367142782
자전거바구니,https://dnvefa72aowie.cloudfront.net/origin/article/202112/dda18635501013a0dc77cd126689ef9860c3f7d2bbf5f5b92070794908da33d7.webp?q=82&s=300x300&t=crop,"접었다 폈다 자전거에
달아서씁니다
다른용도로 활용하셔도돼요
한번도 안 쓴 새제품
자전거 바구니예요",전남 해남군 해남읍,"4,000원",https://www.daangn.com/articles/325250139
자전거 헬멧,https://dnvefa72aowie.cloudfront.net/origin/article/202202/7e22105acfa31e4d325e89666e083b35519e98a2c47383ca5857190b5cc7184c.webp?q=82&s=300x300&t=crop,"몇번 안쓴 자전거 헬멧 팝니다

(직거래원함)",전남 해남군 해남읍,"9,999원",https://www.daangn.com/articles/361362594
